== Optimized simulation (option2) ==
1000 tasks, 70% IO / 30% CPU, 8 workers, cap 100%
DISPATCH kind=Io cpu_running=2 io_q=89 cpu_q=29 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=88 cpu_q=29 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=88 cpu_q=28 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=89 cpu_q=28 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=89 cpu_q=31 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=91 cpu_q=32 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=90 cpu_q=32 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=90 cpu_q=31 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=91 cpu_q=31 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=93 cpu_q=32 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=94 cpu_q=34 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=94 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=94 cpu_q=32 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=95 cpu_q=32 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=98 cpu_q=32 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=100 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=99 cpu_q=33 cpu%=40 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=99 cpu_q=32 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=100 cpu_q=31 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=104 cpu_q=31 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=105 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=104 cpu_q=33 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=104 cpu_q=32 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=104 cpu_q=32 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=107 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=109 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=108 cpu_q=34 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=108 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=108 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=111 cpu_q=34 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=113 cpu_q=35 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=112 cpu_q=35 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=112 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=112 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=116 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=118 cpu_q=35 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=118 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=117 cpu_q=34 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=118 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=122 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=124 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=123 cpu_q=34 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=123 cpu_q=33 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=123 cpu_q=33 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=126 cpu_q=34 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=127 cpu_q=36 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=126 cpu_q=36 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=125 cpu_q=36 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=126 cpu_q=35 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=127 cpu_q=38 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=130 cpu_q=38 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=129 cpu_q=38 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=128 cpu_q=38 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=128 cpu_q=38 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=132 cpu_q=38 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=135 cpu_q=38 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=135 cpu_q=37 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=134 cpu_q=37 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=134 cpu_q=37 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=137 cpu_q=38 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=140 cpu_q=38 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=139 cpu_q=38 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=139 cpu_q=37 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=139 cpu_q=37 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=141 cpu_q=39 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=141 cpu_q=42 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=141 cpu_q=41 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=140 cpu_q=41 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=140 cpu_q=41 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=142 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=145 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=144 cpu_q=43 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=144 cpu_q=42 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=143 cpu_q=43 cpu%=75 busy=5
