elapsed_ms,cpu_pct,workers_active,queue_len
14808,100,5,363
14818,100,5,363
14828,100,5,363
14839,100,5,363
14849,100,5,364
14859,100,5,364
14869,100,5,365
14879,100,5,365
14890,100,5,366
14900,75,5,365
14910,100,5,364
14920,100,5,364
14930,100,5,365
14940,100,5,365
14951,100,5,365
14961,100,5,365
14971,100,5,366
14981,100,5,366
14991,100,5,367
15002,100,5,367
15012,100,5,368
15022,100,5,367
15032,100,5,368
15042,100,5,368
15052,100,5,369
15063,100,5,369
15073,100,5,370
15083,100,5,370
15093,100,5,371
15103,100,5,370
15113,75,5,369
15124,75,5,369
15134,75,5,370
15144,75,5,370
15154,100,5,370
15164,100,5,370
15175,100,5,371
15185,100,5,371
15195,100,5,372
15205,100,5,372
15215,100,5,373
15225,100,5,372
15236,100,5,373
15246,100,5,373
15256,100,5,374
15266,100,5,374
15276,100,5,375
15286,100,5,375
15297,100,5,375
15307,75,5,373
15317,75,5,374
15327,75,5,374
15337,75,5,375
15347,75,5,374
15358,75,5,375
15368,75,5,375
15378,75,5,376
15388,75,5,376
15398,75,5,377
15408,75,5,378
15419,75,5,378
15429,100,5,378
15439,100,5,378
15449,100,5,379
15459,100,5,379
15470,100,5,380
15480,100,5,380
15490,100,5,381
15500,100,5,380
15510,100,5,379
15520,100,5,379
15530,100,5,380
15541,100,5,380
15551,75,5,380
15561,75,5,380
15571,75,5,381
15581,75,5,381
15592,75,5,382
15602,75,5,382
15612,75,5,383
15622,75,5,383
15632,75,5,383
15643,75,5,383
15653,75,5,384
15663,75,5,384
15673,75,5,385
15683,75,5,385
15694,75,5,386
15704,100,5,385
15714,100,5,384
15724,100,5,384
15734,100,5,385
15745,100,5,385
15755,100,5,385
15765,100,5,385
15775,100,5,386
15785,100,5,386
15795,100,5,387
15805,100,5,387
15816,100,5,388
15826,75,5,387
15836,75,5,388
15846,75,5,388
15856,75,5,389
15866,75,5,389
15877,75,5,390
15887,75,5,390
15897,75,5,390
15907,100,5,388
15917,100,5,389
15927,100,5,389
15937,100,5,390
15948,100,5,389
15958,100,5,390
15969,100,5,390
15980,100,5,391
15990,100,5,391
16000,100,5,392
16011,100,5,392
16022,100,5,393
16032,100,5,393
16042,100,5,393
16052,100,5,394
16063,100,5,394
16073,100,5,395
16084,100,5,395
16094,100,5,396
16104,75,5,395
16114,100,5,394
16124,100,5,394
16134,100,5,395
16145,100,5,395
16155,100,5,395
16165,100,5,395
16175,100,5,396
16185,100,5,396
16196,100,5,397
